{'batch_size': 128,
 'capacity': 100000,
 'dataset_path': 'D:\\Projects\\bridge_research\\expert\\train.txt',
 'device': 'cuda',
 'epoch_len': 1000,
 'eps': 1e-08,
 'hid_dim': 1024,
 'inf_loop': 1,
 'lr': 0.0001,
 'max_len': 60,
 'num_epoch': 1000,
 'num_lstm_layer': 2,
 'num_mlp_layer': 4,
 'num_threads': 8,
 'prefetch': 2,
 'save_dir': 'lstm_sl\\exp1',
 'seed': 42}
Epoch 0, loss: 4.334957497596741, accuracy: 0.9011095717232674, accuracy_without_no_op: 0.6231611432135105, model_saved: True
Epoch 1, loss: 2.752587008476257, accuracy: 0.9216061487197876, accuracy_without_no_op: 0.6863968868851662, model_saved: True
Epoch 2, loss: 2.5055830433368684, accuracy: 0.9269346821308136, accuracy_without_no_op: 0.7076573967933655, model_saved: True
Epoch 3, loss: 2.2895446195602416, accuracy: 0.9317291494607925, accuracy_without_no_op: 0.7268183817863464, model_saved: True
Epoch 4, loss: 2.0483561251163485, accuracy: 0.9376376595497131, accuracy_without_no_op: 0.7505236011743546, model_saved: True
Epoch 5, loss: 1.8655018346309662, accuracy: 0.9433371574878693, accuracy_without_no_op: 0.7731910572052002, model_saved: True
Epoch 6, loss: 1.7294199458360673, accuracy: 0.9475132423639298, accuracy_without_no_op: 0.7900857090353965, model_saved: True
Epoch 7, loss: 1.6046383786201477, accuracy: 0.9514200302362442, accuracy_without_no_op: 0.8056235955953598, model_saved: True
Epoch 8, loss: 1.4952849670648576, accuracy: 0.9543260034918785, accuracy_without_no_op: 0.8171467871069908, model_saved: True
Epoch 9, loss: 1.4058658084869384, accuracy: 0.9570730152726173, accuracy_without_no_op: 0.8282564766407013, model_saved: True
Epoch 10, loss: 1.3231445897221565, accuracy: 0.95934862190485, accuracy_without_no_op: 0.8371971859335899, model_saved: True
Epoch 11, loss: 1.2377127781510353, accuracy: 0.9618129330873489, accuracy_without_no_op: 0.847145613193512, model_saved: True
Epoch 12, loss: 1.1660526314973831, accuracy: 0.9639890449643135, accuracy_without_no_op: 0.8560114676952362, model_saved: True
Epoch 13, loss: 1.1110291612148284, accuracy: 0.965835855960846, accuracy_without_no_op: 0.863343786239624, model_saved: True
Epoch 14, loss: 1.044468101143837, accuracy: 0.9677766738533974, accuracy_without_no_op: 0.8711077044010163, model_saved: True
Epoch 15, loss: 0.9956707971692085, accuracy: 0.9692751321792602, accuracy_without_no_op: 0.8770418921113015, model_saved: True
Epoch 16, loss: 0.935500742316246, accuracy: 0.9710138522982598, accuracy_without_no_op: 0.8840842254161835, model_saved: True
Epoch 17, loss: 0.899049900829792, accuracy: 0.9722357670068741, accuracy_without_no_op: 0.8889035297036171, model_saved: True
Epoch 18, loss: 0.8629053981304169, accuracy: 0.9733028998374939, accuracy_without_no_op: 0.8931473507285118, model_saved: True
Epoch 19, loss: 0.8156992126107215, accuracy: 0.9747368226051331, accuracy_without_no_op: 0.8989206507205963, model_saved: True
Epoch 20, loss: 0.7864756453931332, accuracy: 0.9755206421017647, accuracy_without_no_op: 0.9020907925963402, model_saved: True
Epoch 21, loss: 0.7517680601477623, accuracy: 0.9766865372061729, accuracy_without_no_op: 0.9067766890525818, model_saved: True
Epoch 22, loss: 0.7176591701805591, accuracy: 0.9777447694540023, accuracy_without_no_op: 0.9109919994473458, model_saved: True
Epoch 23, loss: 0.6991742936372757, accuracy: 0.978291164457798, accuracy_without_no_op: 0.9131584945917129, model_saved: True
Epoch 24, loss: 0.6638246809244156, accuracy: 0.9793370096087456, accuracy_without_no_op: 0.9173408613204956, model_saved: True
Epoch 25, loss: 0.64067088291049, accuracy: 0.979977887570858, accuracy_without_no_op: 0.9198578907847405, model_saved: True
